label,gloss,participant,video_file,split
DEAF,DEAF1,P30,068296817498531-DEAF.mp4,train
WAIT,WAIT,P52,9595840152815802-seedWAIT.mp4,train
WATER,WATER,P52,4617924298797549-seedWATER.mp4,train
HELP,HELP,P52,09953879192572268-seedHELP.mp4,train
EAT,EAT1,P52,36220708618174635-seedEAT.mp4,train
BATHROOM,BATHROOM,P52,4137936897652219-seedBATHROOM.mp4,train
EAT,EAT2,P52,7090308723893539-seedEAT.mp4,train
SORRY,SORRY,P52,9992716034642337-seedSORRY.mp4,train
HUNGRY,HUNGRY,P52,7117735182398317-seedHUNGRY.mp4,train
PLEASE,PLEASE,P52,47017724784893633-seedPLEASE.mp4,train
WHERE,WHERE,P52,35445730348954285-seedWHERE.mp4,train
DRINK,DRINK1,P52,7985319657788752-seedDRINK.mp4,train
SICK,SICK,P52,7809273250779392-seedSICK.mp4,train
MORE,MORE,P52,7570971556194199-seedMORE.mp4,train
WHO,WHO,P52,6723858714545425-seedWHO.mp4,train
UNDERSTAND,UNDERSTAND,P52,9807956157005397-seedUNDERSTAND.mp4,train
NAME,NAME,P52,03294491784477094-seedNAME.mp4,train
PAIN,PAIN,P52,22435635173558466-seedPAIN.mp4,train
WHY,WHY,P52,009620790877519658-seedWHY.mp4,train
HELLO,HELLO,P52,180739946524912-seedHELLO.mp4,train
HURT,HURT,P52,04508175700479922-seedHURT.mp4,train
DEAF,DEAF1,P52,14313239983235881-seedDEAF.mp4,train
THANKYOU,THANKYOU,P52,3790733585897841-seedTHANK YOU.mp4,train
NO,NO,P52,2688720555507844-seedNO.mp4,train
BYE,BYE,P52,4567979691425712-seedBYE.mp4,train
INTERPRETER,INTERPRETER,P52,39859507411761474-seedINTERPRETER.mp4,train
HOW,HOW1,P52,8835516863640922-seedHOW.mp4,train
DEAF,DEAF2,P52,4994362968658792-seedDEAF.mp4,train
HOW,HOW2,P52,16924808086665677-seedHOW 2.mp4,train
STOP,STOP,P52,9191814085149543-seedSTOP.mp4,train
WHAT,WHAT1,P52,43147199471175535-seedWHAT 2.mp4,train
WHAT,WHAT2,P52,31977909341879607-seedWHAT 1.mp4,train
YES,YES,P52,6358167662084229-seedYES.mp4,train
DRINK,DRINK2,P52,40985347259199356-seedDRINK 2.mp4,train
WAIT,WAIT,P5,19418271966399425-WAIT.mp4,val
WATER,WATER,P5,7530258985595248-WATER.mp4,val
HELP,HELP,P5,8534077485600235-HELP.mp4,val
EAT,EAT1,P5,744008724339543-EAT.mp4,val
HUNGRY,HUNGRY,P12,8724961433813252-HUNGRY.mp4,val
PLEASE,PLEASE,P12,4096147054343935-PLEASE.mp4,val
WHERE,WHERE,P12,7404223141679687-WHERE.mp4,val
DRINK,DRINK1,P12,7071450710791192-DRINK.mp4,val
SICK,SICK,P12,08956501268165051-SICK.mp4,val
MORE,MORE,P12,8341336597329694-MORE.mp4,val
WHO,WHO,P12,24758144482774802-WHO.mp4,val
UNDERSTAND,UNDERSTAND,P12,9717361996927067-UNDERSTAND.mp4,val
NAME,NAME,P12,5439490417710435-NAME.mp4,val
PAIN,PAIN,P12,5646942405877946-PAIN.mp4,val
WHY,WHY,P12,6220173213417262-WHY.mp4,val
HELLO,HELLO,P12,05614933522741539-HELLO.mp4,val
HURT,HURT,P12,17739780073785405-HURT.mp4,val
DEAF,DEAF1,P12,4095802504728605-DEAF.mp4,val
HUNGRY,HUNGRY,P39,8525529504952978-HUNGRY.mp4,val
HUNGRY,HUNGRY,P21,306250682526525-HUNGRY.mp4,val
NO,NO,P21,8323715285073319-NO.mp4,val
WHAT,WHAT2,P21,11792300756428031-WHAT 1.mp4,val
YES,YES,P21,9161842981344352-YES.mp4,val
DRINK,DRINK2,P21,7875424216858471-DRINK 2.mp4,val
WAIT,WAIT,P21,5419469718181713-WAIT.mp4,val
WATER,WATER,P21,414141284745577-WATER.mp4,val
EAT,EAT1,P21,0392835216734122-EAT.mp4,val
EAT,EAT2,P21,14082179940882456-EAT 2.mp4,val
SORRY,SORRY,P21,15179467641851585-SORRY.mp4,val
PLEASE,PLEASE,P21,42961246858695024-PLEASE.mp4,val
WHERE,WHERE,P21,34697989347891944-WHERE.mp4,val
DRINK,DRINK1,P21,8038145060553852-DRINK.mp4,val
SICK,SICK,P21,47832051707828005-SICK.mp4,val
MORE,MORE,P21,009299695590603507-MORE.mp4,val
HURT,HURT,P21,6440601854085655-HURT.mp4,val
DEAF,DEAF1,P21,7371501507543785-DEAF.mp4,val
THANKYOU,THANKYOU,P21,0006320057552187119-THANK YOU.mp4,val
BYE,BYE,P21,8779944008396092-BYE.mp4,val
BYE,BYE,P39,9710569622157019-BYE.mp4,val
INTERPRETER,INTERPRETER,P21,8950421059667071-INTERPRETER.mp4,val
HELP,HELP,P21,6037747479203328-HELP.mp4,val
WHO,WHO,P21,6506737411983545-WHO.mp4,val
UNDERSTAND,UNDERSTAND,P21,8071758688201891-UNDERSTAND.mp4,val
NAME,NAME,P21,6442814975743945-NAME.mp4,val
PAIN,PAIN,P21,7699770097456944-PAIN.mp4,val
WHY,WHY,P21,7508574803030745-WHY.mp4,val
HELLO,HELLO,P21,20675411351630046-HELLO.mp4,val
HOW,HOW1,P21,10542513580735968-HOW.mp4,val
DEAF,DEAF2,P21,43403942633801873-DEAF 2.mp4,val
HOW,HOW2,P21,2274519559281516-HOW 2.mp4,val
STOP,STOP,P21,4382853991304725-STOP.mp4,val
WHAT,WHAT1,P21,9106828060005678-WHAT 2.mp4,val
BATHROOM,BATHROOM,P21,2363946724780117-BATHROOM.mp4,val
YES,YES,P21,9715589334909431-YES.mp4,val
DRINK,DRINK2,P21,36996117552353014-DRINK 2.mp4,val
YES,YES,P39,42327270691916885-YES.mp4,val
DRINK,DRINK2,P39,5470582351678035-DRINK 2.mp4,val
WATER,WATER,P39,03174577769237463-WATER.mp4,val
EAT,EAT1,P39,009883456113471967-EAT.mp4,val
SICK,SICK,P39,45273738498753846-SICK.mp4,val
MORE,MORE,P39,9000660794636397-MORE.mp4,val
WHO,WHO,P39,5788460385097332-WHO.mp4,val
UNDERSTAND,UNDERSTAND,P39,7903893233633115-UNDERSTAND.mp4,val
NAME,NAME,P39,9031073980623976-NAME.mp4,val
PAIN,PAIN,P39,9856203057311912-PAIN.mp4,val
WHY,WHY,P39,5132756077874947-WHY.mp4,val
HELLO,HELLO,P39,16493550450776628-HELLO.mp4,val
HURT,HURT,P39,023534771855838965-HURT.mp4,val
NO,NO,P39,4656606080155459-NO.mp4,val
INTERPRETER,INTERPRETER,P39,3329218828052618-INTERPRETER.mp4,val
WHAT,WHAT2,P39,37186838838285174-WHAT 1.mp4,val
WAIT,WAIT,P39,5205785031120291-WAIT.mp4,val
HELP,HELP,P39,44817736125778374-HELP.mp4,val
EAT,EAT2,P39,4396630789618088-EAT 2.mp4,val
SORRY,SORRY,P39,6387762756061144-SORRY.mp4,val
PLEASE,PLEASE,P39,6330094542104612-PLEASE.mp4,val
WHERE,WHERE,P39,6997365376367899-WHERE.mp4,val
DRINK,DRINK1,P39,7313509467149351-DRINK.mp4,val
DEAF,DEAF1,P39,3952172347699263-DEAF.mp4,val
THANKYOU,THANKYOU,P39,16870669316247833-THANK YOU.mp4,val
HOW,HOW1,P39,6271713081961889-HOW.mp4,val
DEAF,DEAF2,P39,8038995989097344-DEAF 2.mp4,val
HOW,HOW2,P39,026060585634413602-HOW 2.mp4,val
STOP,STOP,P39,49400025068696496-STOP.mp4,val
WHAT,WHAT1,P39,873539016146136-WHAT 2.mp4,val
BATHROOM,BATHROOM,P39,3622050510913253-BATHROOM.mp4,val
YES,YES,P39,26056519285644875-YES.mp4,val
DRINK,DRINK2,P39,6484470716683486-DRINK 2.mp4,val
THANKYOU,THANKYOU,P26,7976564165646398-THANK YOU.mp4,val
INTERPRETER,INTERPRETER,P26,7449413893913774-INTERPRETER.mp4,val
HOW,HOW1,P26,971003020665846-HOW.mp4,val
DEAF,DEAF2,P26,022399356029200845-DEAF 2.mp4,val
HOW,HOW2,P26,48721608073646605-HOW 2.mp4,val
BATHROOM,BATHROOM,P26,6405573667025386-BATHROOM.mp4,val
EAT,EAT2,P26,5938554372186748-EAT 2.mp4,val
SORRY,SORRY,P26,9220637121525757-SORRY.mp4,val
HUNGRY,HUNGRY,P26,8727936955185542-HUNGRY.mp4,val
HURT,HURT,P26,24503491036116554-HURT.mp4,val
DEAF,DEAF1,P26,5601659028098682-DEAF.mp4,val
NO,NO,P26,8079226457278508-NO.mp4,val
WAIT,WAIT,P26,6368510219023522-WAIT.mp4,val
WATER,WATER,P26,9850177164607337-WATER.mp4,val
PLEASE,PLEASE,P26,05859480723249688-PLEASE.mp4,val
WHERE,WHERE,P26,19532533865671398-WHERE.mp4,val
DRINK,DRINK1,P26,37918472044314444-DRINK.mp4,val
SICK,SICK,P26,3176950945974586-SICK.mp4,val
MORE,MORE,P26,17984011488050022-MORE.mp4,val
WHO,WHO,P26,8040413047655517-WHO.mp4,val
UNDERSTAND,UNDERSTAND,P26,6504234134902995-UNDERSTAND.mp4,val
NAME,NAME,P26,1420689770801613-NAME.mp4,val
PAIN,PAIN,P26,2527077785378311-PAIN.mp4,val
WHY,WHY,P26,38099175964004983-WHY.mp4,val
HELLO,HELLO,P26,020030442376253177-HELLO.mp4,val
BYE,BYE,P26,2889010159260097-BYE.mp4,val
STOP,STOP,P26,7757946316597986-STOP.mp4,val
WHAT,WHAT1,P26,24519151833954478-WHAT 2.mp4,val
WHAT,WHAT2,P26,05608472883163529-WHAT 1.mp4,val
YES,YES,P26,8977694836593926-YES.mp4,val
HELP,HELP,P26,4382571867616978-HELP.mp4,val
DRINK,DRINK2,P26,7331110745964862-DRINK 2.mp4,val
EAT,EAT1,P26,8779902440064791-EAT.mp4,val
INTERPRETER,INTERPRETER,P26,5042625197582111-INTERPRETER.mp4,val
WHAT,WHAT2,P26,986022284412545-WHAT 1.mp4,val
HELP,HELP,P26,8218136220855874-HELP.mp4,val
BATHROOM,BATHROOM,P42,5897795552292975-BATHROOM.mp4,test
EAT,EAT1,P42,7910128481289247-EAT.mp4,test
SORRY,SORRY,P42,6724466474942836-SORRY.mp4,test
WAIT,WAIT,P42,6363494051663907-WAIT.mp4,test
WATER,WATER,P42,25669396550888335-WATER.mp4,test
HELP,HELP,P42,23773456898680978-HELP.mp4,test
EAT,EAT1,P42,4641646458517976-EAT.mp4,test
DEAF,DEAF1,P42,7322377994548119-DEAF.mp4,test
THANKYOU,THANKYOU,P42,9701695309294336-THANK YOU.mp4,test
NO,NO,P42,46074251080029494-NO.mp4,test
BYE,BYE,P42,36995928249155363-BYE.mp4,test
INTERPRETER,INTERPRETER,P6,09167552322941397-INTERPRETER.mp4,test
INTERPRETER,INTERPRETER,P35,7800453060473915-INTERPRETER.mp4,test
YES,YES,P35,029563612799205163-YES.mp4,test
DRINK,DRINK2,P35,7861742512788061-DRINK 2.mp4,test
DRINK,DRINK2,P6,7157386044540075-DRINK 2.mp4,test
WATER,WATER,P6,41194332281860335-WATER.mp4,test
WATER,WATER,P35,0032949557328998402-WATER.mp4,test
BATHROOM,BATHROOM,P35,6425492078663873-BATHROOM.mp4,test
EAT,EAT1,P35,7291224290785421-EAT.mp4,test
SORRY,SORRY,P35,1812960858393966-SORRY.mp4,test
HUNGRY,HUNGRY,P35,10194449491019375-HUNGRY.mp4,test
PLEASE,PLEASE,P35,8835822739071177-PLEASE.mp4,test
WHERE,WHERE,P35,3227845753007452-WHERE.mp4,test
DRINK,DRINK1,P35,7536887152060914-DRINK.mp4,test
BATHROOM,BATHROOM,P6,3467549992811463-BATHROOM.mp4,test
SICK,SICK,P35,13944307146406487-SICK.mp4,test
MORE,MORE,P35,9421448198356972-MORE.mp4,test
WHO,WHO,P35,60520933432529-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P35,9618610602589022-UNDERSTAND.mp4,test
NAME,NAME,P35,9200587270292702-NAME.mp4,test
PAIN,PAIN,P35,7367332930335526-PAIN.mp4,test
WHY,WHY,P35,576863051440268-WHY.mp4,test
HELLO,HELLO,P35,9203138462369036-HELLO.mp4,test
EAT,EAT1,P6,7640667133656183-EAT.mp4,test
SORRY,SORRY,P6,5199425437483545-SORRY.mp4,test
HURT,HURT,P35,8907848106357383-HURT.mp4,test
HUNGRY,HUNGRY,P6,129693242467106-HUNGRY.mp4,test
HUNGRY,HUNGRY,P42,09596583119145707-HUNGRY.mp4,test
PLEASE,PLEASE,P42,9697873113607589-PLEASE.mp4,test
WHERE,WHERE,P42,3614350392614152-WHERE.mp4,test
DRINK,DRINK1,P42,9000152796377254-DRINK.mp4,test
HOW,HOW1,P42,028264130143242472-HOW.mp4,test
HOW,HOW1,P6,3976156540390696-HOW.mp4,test
STOP,STOP,P42,680707762189654-STOP.mp4,test
WHAT,WHAT1,P42,6451705780589494-WHAT 2.mp4,test
WHAT,WHAT2,P42,8918099698038209-WHAT 1.mp4,test
STOP,STOP,P6,975560309489212-STOP.mp4,test
WAIT,WAIT,P6,4219284432732393-WAIT.mp4,test
HELP,HELP,P6,9702910950898831-HELP.mp4,test
EAT,EAT1,P6,41461171624603455-EAT.mp4,test
HOW,HOW2,P42,5658430416463056-HOW 2.mp4,test
SICK,SICK,P6,3438291198863894-SICK.mp4,test
MORE,MORE,P6,6785155090626982-MORE.mp4,test
WHO,WHO,P6,6257839200605431-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P6,6191415507296982-UNDERSTAND.mp4,test
WAIT,WAIT,P35,6692766688263203-WAIT.mp4,test
NAME,NAME,P6,5806721734598892-NAME.mp4,test
PAIN,PAIN,P6,6304966560640322-PAIN.mp4,test
WHY,WHY,P6,36979047566586587-WHY.mp4,test
HELLO,HELLO,P6,9042145214602195-HELLO.mp4,test
THANKYOU,THANKYOU,P35,6936836055005255-THANK YOU.mp4,test
HURT,HURT,P6,526049354350854-HURT.mp4,test
NO,NO,P35,8920807082520505-NO.mp4,test
THANKYOU,THANKYOU,P6,25130175957831113-THANK YOU.mp4,test
BYE,BYE,P35,5023793115629094-BYE.mp4,test
NO,NO,P6,3247833356457248-NO.mp4,test
BYE,BYE,P6,38351738059429663-BYE.mp4,test
DEAF,DEAF1,P35,8245190559451223-DEAF.mp4,test
HOW,HOW2,P35,5356144703822832-HOW 2.mp4,test
HELP,HELP,P35,5726113697968809-HELP.mp4,test
EAT,EAT1,P35,13884914336494525-EAT.mp4,test
DRINK,DRINK2,P42,0018695357180107397-DRINK 2.mp4,test
SICK,SICK,P42,23601871909315686-SICK.mp4,test
MORE,MORE,P42,35438732511009685-MORE.mp4,test
WHO,WHO,P42,2590814753491968-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P42,40550375821025386-UNDERSTAND.mp4,test
NAME,NAME,P42,243956265655763-NAME.mp4,test
PAIN,PAIN,P42,3339574581172313-PAIN.mp4,test
WHY,WHY,P42,6392085873567048-WHY.mp4,test
HELLO,HELLO,P42,9441415075906014-HELLO.mp4,test
HURT,HURT,P42,7701814722271505-HURT.mp4,test
PLEASE,PLEASE,P6,3584447878251358-PLEASE.mp4,test
WHERE,WHERE,P6,8728839222341029-WHERE.mp4,test
DRINK,DRINK1,P6,9563854183405713-DRINK.mp4,test
DEAF,DEAF1,P6,8849383543656688-DEAF.mp4,test
DEAF,DEAF1,P6,9319298873644923-DEAF.mp4,test
INTERPRETER,INTERPRETER,P42,39793275246996807-INTERPRETER.mp4,test
HOW,HOW2,P6,34193514830123983-HOW 2.mp4,test
WHAT,WHAT1,P6,9031186843157322-WHAT 2.mp4,test
WHAT,WHAT2,P6,5039089573715827-WHAT 1.mp4,test
YES,YES,P6,09905526235759088-YES.mp4,test
EAT,EAT1,P6,5672396093022622-EAT.mp4,test
SORRY,SORRY,P6,5157432639091493-SORRY.mp4,test
HOW,HOW2,P6,8193368982950104-HOW 2.mp4,test
DEAF,DEAF1,P42,1384893971212695-DEAF.mp4,test
WAIT,WAIT,P42,8220736980572507-WAIT.mp4,test
WATER,WATER,P42,9541613491243199-WATER.mp4,test
HELP,HELP,P42,7816987530892228-HELP.mp4,test
EAT,EAT1,P42,5882347360908131-EAT.mp4,test
DEAF,DEAF1,P35,2149343960761707-DEAF.mp4,test
HOW,HOW1,P35,25388875174562653-HOW.mp4,test
STOP,STOP,P35,21416838482074008-STOP.mp4,test
WHAT,WHAT1,P35,30590478365410667-WHAT 2.mp4,test
WHAT,WHAT2,P35,45183491658287966-WHAT 1.mp4,test
BATHROOM,BATHROOM,P35,13788190509940335-BATHROOM.mp4,test
EAT,EAT1,P35,4524158338314277-EAT.mp4,test
SORRY,SORRY,P35,8284103400294454-SORRY.mp4,test
HUNGRY,HUNGRY,P35,140859354753039-HUNGRY.mp4,test
PLEASE,PLEASE,P35,49277089703101806-PLEASE.mp4,test
WHERE,WHERE,P35,9084539059220444-WHERE.mp4,test
DRINK,DRINK1,P35,21698877434119446-DRINK.mp4,test
SICK,SICK,P35,37419038878511945-SICK.mp4,test
YES,YES,P15,9605571410103191-YES.mp4,test
DRINK,DRINK2,P15,5287232905909216-DRINK 2.mp4,test
WAIT,WAIT,P15,8607947465067156-WAIT.mp4,test
WATER,WATER,P15,7705639151800205-WATER.mp4,test
HELP,HELP,P15,3347819641252294-HELP.mp4,test
EAT,EAT1,P15,8917441625336839-EAT.mp4,test
HOW,HOW1,P15,670019265660998-HOW.mp4,test
DEAF,DEAF2,P15,7832073715070595-DEAF 2.mp4,test
HOW,HOW2,P15,7461257731188731-HOW 2.mp4,test
STOP,STOP,P15,31921160795841863-STOP.mp4,test
WHAT,WHAT1,P15,8745067191819265-WHAT 2.mp4,test
WHAT,WHAT2,P15,15957405560017013-WHAT 1.mp4,test
BATHROOM,BATHROOM,P15,998805782836137-BATHROOM.mp4,test
EAT,EAT2,P15,931858330051655-EAT 2.mp4,test
SORRY,SORRY,P15,258135021561094-SORRY.mp4,test
HUNGRY,HUNGRY,P15,3274086349316525-HUNGRY.mp4,test
PLEASE,PLEASE,P15,8449958018804076-PLEASE.mp4,test
WHERE,WHERE,P15,4223618248504115-WHERE.mp4,test
DRINK,DRINK1,P15,09371248383875841-DRINK.mp4,test
SICK,SICK,P15,3280234496255292-SICK.mp4,test
MORE,MORE,P15,23625275644196408-MORE.mp4,test
WHO,WHO,P15,1830009936727366-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P15,9663239092789866-UNDERSTAND.mp4,test
NAME,NAME,P15,3644933452013184-NAME.mp4,test
PAIN,PAIN,P15,5243643279901755-PAIN.mp4,test
WHY,WHY,P15,7308465390923164-WHY.mp4,test
HELLO,HELLO,P15,7648996670040624-HELLO.mp4,test
HURT,HURT,P15,012509443500401618-HURT.mp4,test
DEAF,DEAF1,P15,21166353600430976-DEAF.mp4,test
THANKYOU,THANKYOU,P15,09460259361998125-THANK YOU.mp4,test
NO,NO,P15,7525332129995586-NO.mp4,test
BYE,BYE,P15,9133589855079114-BYE.mp4,test
INTERPRETER,INTERPRETER,P17,6751844870306702-INTERPRETER.mp4,test
YES,YES,P18,541403296602635-YES.mp4,test
DRINK,DRINK2,P18,35888089534387335-DRINK 2.mp4,test
WAIT,WAIT,P18,624921199330932-WAIT.mp4,test
WATER,WATER,P18,7006268761752481-WATER.mp4,test
HELP,HELP,P18,531487732428322-HELP.mp4,test
EAT,EAT1,P18,40193405478785693-EAT.mp4,test
INTERPRETER,INTERPRETER,P15,29839436575740796-INTERPRETER.mp4,test
WAIT,WAIT,P15,431834858238225-WAIT.mp4,test
BATHROOM,BATHROOM,P18,6681560918281026-BATHROOM.mp4,test
EAT,EAT2,P18,3651789913333805-EAT 2.mp4,test
SORRY,SORRY,P18,14951164356135682-SORRY.mp4,test
HUNGRY,HUNGRY,P18,002348350992488646-HUNGRY.mp4,test
PLEASE,PLEASE,P18,11854818371036102-PLEASE.mp4,test
WHERE,WHERE,P18,9957868929062672-WHERE.mp4,test
DRINK,DRINK1,P18,6657698379837473-DRINK.mp4,test
SICK,SICK,P18,4446871579256513-SICK.mp4,test
MORE,MORE,P18,9340539684203915-MORE.mp4,test
WHO,WHO,P18,042301515237099796-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P18,6762437534373142-UNDERSTAND.mp4,test
NAME,NAME,P18,2650581877009257-NAME.mp4,test
PAIN,PAIN,P18,7706892251614081-PAIN.mp4,test
WHY,WHY,P18,2952311704357522-WHY.mp4,test
HELLO,HELLO,P18,7076961883712545-HELLO.mp4,test
HURT,HURT,P18,959367511420421-HURT.mp4,test
DEAF,DEAF1,P18,14415908988995363-DEAF.mp4,test
HUNGRY,HUNGRY,P47,8268071690304826-HUNGRY.mp4,test
PLEASE,PLEASE,P47,6936039479099299-PLEASE.mp4,test
WHERE,WHERE,P47,37275461912744046-WHERE.mp4,test
DRINK,DRINK1,P47,9812515328553977-DRINK.mp4,test
HURT,HURT,P47,4024860767622749-HURT.mp4,test
DEAF,DEAF1,P47,09902338777880337-DEAF.mp4,test
HURT,HURT,P15,6798727816721306-HURT.mp4,test
DEAF,DEAF1,P15,7728056611070833-DEAF.mp4,test
THANKYOU,THANKYOU,P47,08583141071601874-THANK YOU.mp4,test
THANKYOU,THANKYOU,P15,936211950052861-THANK YOU.mp4,test
NO,NO,P47,5278795760893484-NO.mp4,test
THANKYOU,THANKYOU,P18,9962081495357855-THANK YOU.mp4,test
BYE,BYE,P47,6225526845167895-BYE.mp4,test
NO,NO,P18,08228267952066615-NO.mp4,test
BYE,BYE,P18,31198466578073125-BYE.mp4,test
DEAF,DEAF2,P47,5776702991642169-DEAF 2.mp4,test
HOW,HOW2,P47,25844912689873545-HOW 2.mp4,test
STOP,STOP,P18,38330302294288865-STOP.mp4,test
WHAT,WHAT1,P18,8880006166221515-WHAT 2.mp4,test
WHAT,WHAT2,P18,5746393757052535-WHAT 1.mp4,test
YES,YES,P47,41279108584600577-YES.mp4,test
DRINK,DRINK2,P47,6756383681583675-DRINK 2.mp4,test
WATER,WATER,P47,4408911106822304-WATER.mp4,test
HELP,HELP,P47,9165653074606479-HELP.mp4,test
EAT,EAT1,P47,25398273569443774-EAT.mp4,test
BATHROOM,BATHROOM,P47,930783877982531-BATHROOM.mp4,test
EAT,EAT2,P47,8673550975339348-EAT 2.mp4,test
SICK,SICK,P47,15552261128903067-SICK.mp4,test
MORE,MORE,P47,010465663034460171-MORE.mp4,test
INTERPRETER,INTERPRETER,P18,046219743175623274-INTERPRETER.mp4,test
WHO,WHO,P47,8795571081681577-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P47,941475953685674-UNDERSTAND.mp4,test
DEAF,DEAF2,P18,001849777902119376-DEAF 2.mp4,test
NAME,NAME,P47,418905208580302-NAME.mp4,test
HOW,HOW2,P18,9123431516469718-HOW 2.mp4,test
PAIN,PAIN,P47,6005329882355028-PAIN.mp4,test
WHY,WHY,P47,30163868001403205-WHY.mp4,test
HELLO,HELLO,P47,8364377695946923-HELLO.mp4,test
HOW,HOW1,P18,9935032342175718-HOW.mp4,test
WHO,WHO,P18,10251163827204302-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P18,6508787541133374-UNDERSTAND.mp4,test
NAME,NAME,P18,13831972157907857-NAME.mp4,test
PAIN,PAIN,P18,054502038668710284-PAIN.mp4,test
WHY,WHY,P18,32965084799922706-WHY.mp4,test
STOP,STOP,P47,692674622436245-STOP.mp4,test
HELLO,HELLO,P18,16501735528077632-HELLO.mp4,test
WHAT,WHAT1,P47,48553283978859585-WHAT 2.mp4,test
WHAT,WHAT2,P47,920513750448132-WHAT 1.mp4,test
WAIT,WAIT,P47,5185122660022305-WAIT.mp4,test
INTERPRETER,INTERPRETER,P47,014355229488112409-INTERPRETER.mp4,test
HOW,HOW1,P47,06437354909692172-HOW.mp4,test
WHO,WHO,P47,1788921553709799-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P47,3018334807491294-UNDERSTAND.mp4,test
NAME,NAME,P47,5230881244500567-NAME.mp4,test
PAIN,PAIN,P47,02676525194121826-PAIN.mp4,test
WHY,WHY,P47,9178007741963472-WHY.mp4,test
HELLO,HELLO,P47,7027473793210652-HELLO.mp4,test
YES,YES,P48,7442618628569746-YES.mp4,test
DRINK,DRINK2,P48,30737382105404953-DRINK 2.mp4,test
WATER,WATER,P49,28568822555970064-WATER.mp4,test
HELP,HELP,P49,3000270038189985-HELP.mp4,test
EAT,EAT1,P49,550827298682977-EAT.mp4,test
BATHROOM,BATHROOM,P48,9571056160406306-BATHROOM.mp4,test
EAT,EAT2,P48,753473700404141-EAT 2.mp4,test
SORRY,SORRY,P48,9645970507449169-SORRY.mp4,test
HUNGRY,HUNGRY,P48,6826458140252678-HUNGRY.mp4,test
PLEASE,PLEASE,P48,7315727436787696-PLEASE.mp4,test
WHERE,WHERE,P48,6471203705029369-WHERE.mp4,test
DRINK,DRINK1,P48,6863272868161578-DRINK.mp4,test
SICK,SICK,P48,00961775886447791-SICK.mp4,test
MORE,MORE,P48,813443212118808-MORE.mp4,test
NO,NO,P48,9542027365188674-NO.mp4,test
PLEASE,PLEASE,P17,9004431867747704-PLEASE.mp4,test
WHERE,WHERE,P17,03717365663139738-WHERE.mp4,test
DRINK,DRINK1,P17,1184248496668674-DRINK.mp4,test
SICK,SICK,P17,6885382807632885-SICK.mp4,test
MORE,MORE,P17,597060949237564-MORE.mp4,test
BYE,BYE,P17,17487361670794144-BYE.mp4,test
PLEASE,PLEASE,P49,5042323343464843-PLEASE.mp4,test
WHERE,WHERE,P49,2868358953291379-WHERE.mp4,test
DRINK,DRINK1,P49,4266956774131161-DRINK.mp4,test
SICK,SICK,P49,46526275710038-SICK.mp4,test
MORE,MORE,P49,7235081979386058-MORE.mp4,test
BYE,BYE,P49,2223181186410932-BYE.mp4,test
BYE,BYE,P48,6825474983576931-BYE.mp4,test
DEAF,DEAF2,P49,6424376527059805-DEAF 2.mp4,test
HOW,HOW2,P49,9380222416073931-HOW 2.mp4,test
STOP,STOP,P49,6864058804402533-STOP.mp4,test
WHAT,WHAT1,P49,9155674205578053-WHAT 2.mp4,test
WHAT,WHAT2,P49,156881627862701-WHAT 1.mp4,test
YES,YES,P49,5327840336837257-YES.mp4,test
DRINK,DRINK2,P49,5500549780163715-DRINK 2.mp4,test
WAIT,WAIT,P49,7613568684951131-WAIT.mp4,test
WATER,WATER,P48,8633906244621417-WATER.mp4,test
HELP,HELP,P48,9203747770494983-HELP.mp4,test
EAT,EAT1,P48,6239284754747361-EAT.mp4,test
HURT,HURT,P48,024957790105810895-HURT.mp4,test
DEAF,DEAF1,P48,8622441304805439-DEAF.mp4,test
THANKYOU,THANKYOU,P48,7057474129672285-THANK YOU.mp4,test
BATHROOM,BATHROOM,P49,026579710670746826-BATHROOM.mp4,test
EAT,EAT2,P49,9170908200517884-EAT 2.mp4,test
SORRY,SORRY,P49,7965960158855614-SORRY.mp4,test
HUNGRY,HUNGRY,P49,5953063052308991-HUNGRY.mp4,test
NO,NO,P49,2732741727030885-NO.mp4,test
INTERPRETER,INTERPRETER,P49,8738981266706498-INTERPRETER.mp4,test
WHO,WHO,P49,9738453337311435-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P49,40156343723600907-UNDERSTAND.mp4,test
NAME,NAME,P49,7157719195212653-NAME.mp4,test
PAIN,PAIN,P49,46245201069940745-PAIN.mp4,test
WHY,WHY,P49,09164331443344143-WHY.mp4,test
HELLO,HELLO,P49,3283413810240037-HELLO.mp4,test
HURT,HURT,P49,45700493347203897-HURT.mp4,test
DEAF,DEAF1,P49,24393293337340283-DEAF.mp4,test
THANKYOU,THANKYOU,P49,35156313213734314-THANK YOU.mp4,test
HOW,HOW1,P49,5979307187574394-HOW.mp4,test
DEAF,DEAF2,P49,37411103447253136-DEAF 2.mp4,test
HOW,HOW2,P49,8037153286426952-HOW 2.mp4,test
