source,label,participant,clip,total_frames,hand_frames,hand_rate,duration_s,flat_frac,centroid_z,flags,npz
aslcitizen,MORE,P39,9000660794636397-MORE,152,35,0.23,5.07,0.0,0.82,LOW_HAND_RATE,val__MORE__P39__9000660794636397-MORE.npz
aslcitizen,WAIT,P42,6363494051663907-WAIT,82,19,0.232,2.73,0.0,-0.47,LOW_HAND_RATE,test__WAIT__P42__6363494051663907-WAIT.npz
aslcitizen,WHAT,P11,5384324732130294-WHAT 2,43,10,0.233,1.44,0.0,-0.17,LOW_HAND_RATE,train__WHAT__P11__5384324732130294-WHAT 2.npz
aslcitizen,EAT,P29,8267242257825924-EAT,47,11,0.234,1.57,0.0,-0.67,LOW_HAND_RATE,train__EAT__P29__8267242257825924-EAT.npz
aslcitizen,PLEASE,P52,47017724784893633-seedPLEASE,158,37,0.234,5.28,0.0,-0.37,LOW_HAND_RATE,train__PLEASE__P52__47017724784893633-seedPLEASE.npz
aslcitizen,HUNGRY,P42,09596583119145707-HUNGRY,81,19,0.235,2.65,0.0,-0.86,LOW_HAND_RATE,test__HUNGRY__P42__09596583119145707-HUNGRY.npz
aslcitizen,HUNGRY,P27,47262000245136493-HUNGRY,72,17,0.236,2.4,0.0,-0.41,LOW_HAND_RATE,train__HUNGRY__P27__47262000245136493-HUNGRY.npz
aslcitizen,BATHROOM,P42,5897795552292975-BATHROOM,76,18,0.237,2.49,0.0,-0.07,LOW_HAND_RATE,test__BATHROOM__P42__5897795552292975-BATHROOM.npz
wlasl,NAME,WLASL_47,37586_15,135,32,0.237,4.5,0.0,-0.92,LOW_HAND_RATE,train__NAME__WLASL_47__wlasl_37586_15.npz
aslcitizen,EAT,P11,7327271470470507-EAT,42,10,0.238,1.4,0.0,0.55,LOW_HAND_RATE,train__EAT__P11__7327271470470507-EAT.npz
aslcitizen,WHY,P52,009620790877519658-seedWHY,126,30,0.238,4.2,0.0,0.16,LOW_HAND_RATE,train__WHY__P52__009620790877519658-seedWHY.npz
aslcitizen,HELLO,P33,8841964348021558-HELLO,138,33,0.239,4.6,0.0,1.16,LOW_HAND_RATE,train__HELLO__P33__8841964348021558-HELLO.npz
aslcitizen,THANKYOU,P42,9701695309294336-THANK YOU,78,19,0.244,2.55,0.0,-1.03,LOW_HAND_RATE,test__THANKYOU__P42__9701695309294336-THANK YOU.npz
aslcitizen,HELLO,P52,180739946524912-seedHELLO,119,29,0.244,3.97,0.0,-0.93,LOW_HAND_RATE,train__HELLO__P52__180739946524912-seedHELLO.npz
aslcitizen,HUNGRY,P35,140859354753039-HUNGRY,53,13,0.245,1.78,0.0,-0.85,LOW_HAND_RATE,test__HUNGRY__P35__140859354753039-HUNGRY.npz
aslcitizen,NO,P42,46074251080029494-NO,69,17,0.246,2.26,0.0,0.62,LOW_HAND_RATE,test__NO__P42__46074251080029494-NO.npz
aslcitizen,WATER,P48,8633906244621417-WATER,84,21,0.25,2.8,0.0,-0.12,LOW_HAND_RATE,test__WATER__P48__8633906244621417-WATER.npz
aslcitizen,WHO,P42,2590814753491968-WHO,48,12,0.25,1.6,0.0,0.18,LOW_HAND_RATE,test__WHO__P42__2590814753491968-WHO.npz
aslcitizen,EAT,P30,5739215722518052-EAT,60,15,0.25,1.97,0.0,-0.3,LOW_HAND_RATE,train__EAT__P30__5739215722518052-EAT.npz
aslcitizen,HELP,P52,09953879192572268-seedHELP,156,39,0.25,5.2,0.0,1.93,LOW_HAND_RATE,train__HELP__P52__09953879192572268-seedHELP.npz
aslcitizen,WHY,P7,41986547104124017-WHY,76,19,0.25,2.48,0.0,-0.65,LOW_HAND_RATE,train__WHY__P7__41986547104124017-WHY.npz
aslcitizen,YES,P29,9092689562509508-YES,48,12,0.25,1.6,0.0,-0.32,LOW_HAND_RATE,train__YES__P29__9092689562509508-YES.npz
aslcitizen,DRINK,P29,20468755034347463-DRINK 2,199,50,0.251,6.63,0.0,-0.09,LOW_HAND_RATE,train__DRINK__P29__20468755034347463-DRINK 2.npz
aslcitizen,PAIN,P31,2531134404714388-PAIN,87,22,0.253,2.9,0.0,-0.23,LOW_HAND_RATE,train__PAIN__P31__2531134404714388-PAIN.npz
aslcitizen,DEAF,P9,34251957180053694-DEAF,134,34,0.254,4.41,0.0,-0.53,LOW_HAND_RATE,test__DEAF__P9__34251957180053694-DEAF.npz
aslcitizen,EAT,P18,3651789913333805-EAT 2,67,17,0.254,2.68,0.0,-0.87,LOW_HAND_RATE,test__EAT__P18__3651789913333805-EAT 2.npz
aslcitizen,STOP,P25,7606933944529259-STOP,71,18,0.254,2.37,0.0,-0.47,LOW_HAND_RATE,train__STOP__P25__7606933944529259-STOP.npz
aslcitizen,PAIN,P22,374792426110897-PAIN,47,12,0.255,1.57,0.0,0.01,LOW_HAND_RATE,test__PAIN__P22__374792426110897-PAIN.npz
wlasl,WHO,WLASL_42,63225_20,110,28,0.255,3.67,0.0,-0.87,LOW_HAND_RATE,train__WHO__WLASL_42__wlasl_63225_20.npz
aslcitizen,HELLO,P18,16501735528077632-HELLO,43,11,0.256,2.83,0.0,-0.09,LOW_HAND_RATE,test__HELLO__P18__16501735528077632-HELLO.npz
aslcitizen,THANKYOU,P52,3790733585897841-seedTHANK YOU,160,41,0.256,5.28,0.0,1.55,LOW_HAND_RATE,train__THANKYOU__P52__3790733585897841-seedTHANK YOU.npz
aslcitizen,WAIT,P30,9783535742177485-WAIT,129,33,0.256,4.3,0.0,-0.12,LOW_HAND_RATE,train__WAIT__P30__9783535742177485-WAIT.npz
aslcitizen,EAT,P42,5882347360908131-EAT,35,9,0.257,1.17,0.0,-0.08,LOW_HAND_RATE,test__EAT__P42__5882347360908131-EAT.npz
aslcitizen,INTERPRETER,P18,046219743175623274-INTERPRETER,70,18,0.257,2.8,0.0,0.31,LOW_HAND_RATE,test__INTERPRETER__P18__046219743175623274-INTERPRETER.npz
aslcitizen,NAME,P18,13831972157907857-NAME,74,19,0.257,2.96,0.0,0.54,LOW_HAND_RATE,test__NAME__P18__13831972157907857-NAME.npz
aslcitizen,EAT,P33,10224745501869581-EAT 2,140,36,0.257,4.67,0.0,2.13,LOW_HAND_RATE,train__EAT__P33__10224745501869581-EAT 2.npz
aslcitizen,HUNGRY,P39,8525529504952978-HUNGRY,136,35,0.257,4.53,0.0,1.4,LOW_HAND_RATE,val__HUNGRY__P39__8525529504952978-HUNGRY.npz
aslcitizen,WHAT,P22,7577155904518054-WHAT 1,31,8,0.258,1.03,0.0,-0.15,LOW_HAND_RATE,test__WHAT__P22__7577155904518054-WHAT 1.npz
aslcitizen,YES,P48,7442618628569746-YES,93,24,0.258,3.1,0.0,-0.34,LOW_HAND_RATE,test__YES__P48__7442618628569746-YES.npz
aslcitizen,DRINK,P50,45011841193956603-DRINK 2,93,24,0.258,3.1,0.0,-0.14,LOW_HAND_RATE,train__DRINK__P50__45011841193956603-DRINK 2.npz
aslcitizen,DEAF,P23,07152092969372692-DEAF,85,22,0.259,2.84,0.0,-0.45,LOW_HAND_RATE,train__DEAF__P23__07152092969372692-DEAF.npz
aslcitizen,EAT,P39,4396630789618088-EAT 2,116,30,0.259,3.87,0.0,2.35,LOW_HAND_RATE,val__EAT__P39__4396630789618088-EAT 2.npz
aslcitizen,PAIN,P48,9136737589481181-PAIN,73,19,0.26,2.43,0.0,-0.52,LOW_HAND_RATE,test__PAIN__P48__9136737589481181-PAIN.npz
aslcitizen,EAT,P33,31477726769914227-EAT,200,52,0.26,6.67,0.0,1.14,LOW_HAND_RATE,train__EAT__P33__31477726769914227-EAT.npz
aslcitizen,THANKYOU,P1,6508465822424006-THANK YOU,77,20,0.26,2.57,0.0,-0.97,LOW_HAND_RATE,train__THANKYOU__P1__6508465822424006-THANK YOU.npz
aslcitizen,UNDERSTAND,P11,2621288608804102-UNDERSTAND,50,13,0.26,1.67,0.0,-0.94,LOW_HAND_RATE,train__UNDERSTAND__P11__2621288608804102-UNDERSTAND.npz
aslcitizen,SORRY,P52,9992716034642337-seedSORRY,168,44,0.262,5.63,0.0,-0.18,LOW_HAND_RATE,train__SORRY__P52__9992716034642337-seedSORRY.npz
aslcitizen,WHY,P22,015395985479345287-WHY,38,10,0.263,1.27,0.0,-0.79,LOW_HAND_RATE,test__WHY__P22__015395985479345287-WHY.npz
aslcitizen,DRINK,P33,21577690984159714-DRINK,118,31,0.263,3.94,0.0,-0.25,LOW_HAND_RATE,train__DRINK__P33__21577690984159714-DRINK.npz
aslcitizen,HELLO,P29,1340650432799635-HELLO,38,10,0.263,1.27,0.0,0.82,LOW_HAND_RATE,train__HELLO__P29__1340650432799635-HELLO.npz
aslcitizen,STOP,P29,787967286498557-STOP,38,10,0.263,1.27,0.0,-0.1,LOW_HAND_RATE,train__STOP__P29__787967286498557-STOP.npz
aslcitizen,STOP,P9,5241068902608812-STOP,87,23,0.264,2.9,0.0,1.49,LOW_HAND_RATE,test__STOP__P9__5241068902608812-STOP.npz
aslcitizen,HELP,P4,7616988400005291-HELP,125,33,0.264,4.17,0.16,-0.87,LOW_HAND_RATE,train__HELP__P4__7616988400005291-HELP.npz
aslcitizen,WHY,P11,20564555475489255-WHY,53,14,0.264,1.77,0.0,-0.43,LOW_HAND_RATE,train__WHY__P11__20564555475489255-WHY.npz
aslcitizen,THANKYOU,P22,16270426237316316-THANK YOU,34,9,0.265,1.13,0.0,0.67,LOW_HAND_RATE,test__THANKYOU__P22__16270426237316316-THANK YOU.npz
aslcitizen,UNDERSTAND,P39,7903893233633115-UNDERSTAND,117,31,0.265,3.9,0.0,0.39,LOW_HAND_RATE,val__UNDERSTAND__P39__7903893233633115-UNDERSTAND.npz
aslcitizen,HUNGRY,P35,10194449491019375-HUNGRY,64,17,0.266,2.13,0.0,-0.91,LOW_HAND_RATE,test__HUNGRY__P35__10194449491019375-HUNGRY.npz
aslcitizen,HUNGRY,P6,129693242467106-HUNGRY,45,12,0.267,1.5,0.0,1.29,LOW_HAND_RATE,test__HUNGRY__P6__129693242467106-HUNGRY.npz
aslcitizen,STOP,P17,5495256812953944-STOP,60,16,0.267,1.95,0.0,-0.27,LOW_HAND_RATE,test__STOP__P17__5495256812953944-STOP.npz
aslcitizen,HELLO,P11,6448349493816601-HELLO,45,12,0.267,1.51,0.0,-0.28,LOW_HAND_RATE,train__HELLO__P11__6448349493816601-HELLO.npz
aslcitizen,BYE,P42,36995928249155363-BYE,71,19,0.268,2.33,0.0,-0.88,LOW_HAND_RATE,test__BYE__P42__36995928249155363-BYE.npz
aslcitizen,HURT,P18,959367511420421-HURT,71,19,0.268,2.84,0.0,0.39,LOW_HAND_RATE,test__HURT__P18__959367511420421-HURT.npz
aslcitizen,WHAT,P48,7084601978683813-WHAT 2,71,19,0.268,2.37,0.0,-0.19,LOW_HAND_RATE,test__WHAT__P48__7084601978683813-WHAT 2.npz
aslcitizen,WHO,P18,10251163827204302-WHO,56,15,0.268,2.24,0.0,-0.05,LOW_HAND_RATE,test__WHO__P18__10251163827204302-WHO.npz
aslcitizen,THANKYOU,P11,034197610787212396-THANK YOU,41,11,0.268,1.37,0.0,-0.49,LOW_HAND_RATE,train__THANKYOU__P11__034197610787212396-THANK YOU.npz
aslcitizen,BYE,P43,8852825102646966-BYE,93,25,0.269,3.1,0.0,0.66,LOW_HAND_RATE,train__BYE__P43__8852825102646966-BYE.npz
aslcitizen,DEAF,P11,93340344109002-DEAF,52,14,0.269,1.74,0.0,-0.07,LOW_HAND_RATE,train__DEAF__P11__93340344109002-DEAF.npz
aslcitizen,WHERE,P48,6471203705029369-WHERE,74,20,0.27,2.47,0.0,-0.82,LOW_HAND_RATE,test__WHERE__P48__6471203705029369-WHERE.npz
aslcitizen,SICK,P30,346347810799994-SICK,141,38,0.27,4.64,0.0,-0.32,LOW_HAND_RATE,train__SICK__P30__346347810799994-SICK.npz
aslcitizen,HURT,P39,023534771855838965-HURT,141,38,0.27,4.7,0.0,-0.75,LOW_HAND_RATE,val__HURT__P39__023534771855838965-HURT.npz
aslcitizen,WHERE,P33,32552115561898876-WHERE,129,35,0.271,4.31,0.0,1.07,LOW_HAND_RATE,train__WHERE__P33__32552115561898876-WHERE.npz
aslcitizen,DRINK,P39,5470582351678035-DRINK 2,170,46,0.271,5.67,0.0,0.13,LOW_HAND_RATE,val__DRINK__P39__5470582351678035-DRINK 2.npz
aslcitizen,NO,P2,7973429116215278-NO,88,24,0.273,2.93,0.0,0.49,LOW_HAND_RATE,train__NO__P2__7973429116215278-NO.npz
aslcitizen,HOW,P21,10542513580735968-HOW,66,18,0.273,2.2,0.0,0.69,LOW_HAND_RATE,val__HOW__P21__10542513580735968-HOW.npz
aslcitizen,DRINK,P50,3150362992415996-DRINK,84,23,0.274,2.8,0.0,-0.77,LOW_HAND_RATE,train__DRINK__P50__3150362992415996-DRINK.npz
aslcitizen,WHAT,P29,23051551564122996-WHAT 2,51,14,0.275,1.7,0.0,-0.25,LOW_HAND_RATE,train__WHAT__P29__23051551564122996-WHAT 2.npz
aslcitizen,WHO,P39,5788460385097332-WHO,120,33,0.275,4.0,0.0,2.62,LOW_HAND_RATE,val__WHO__P39__5788460385097332-WHO.npz
aslcitizen,DEAF,P42,7322377994548119-DEAF,79,22,0.278,2.63,0.0,-0.24,LOW_HAND_RATE,test__DEAF__P42__7322377994548119-DEAF.npz
aslcitizen,BYE,P52,4567979691425712-seedBYE,97,27,0.278,3.2,0.0,2.09,LOW_HAND_RATE,train__BYE__P52__4567979691425712-seedBYE.npz
wlasl,NO,WLASL_56,38524_21,79,22,0.278,2.64,0.0,-1.07,LOW_HAND_RATE,train__NO__WLASL_56__wlasl_38524_21.npz
aslcitizen,UNDERSTAND,P26,6504234134902995-UNDERSTAND,54,15,0.278,1.78,0.182,-0.82,LOW_HAND_RATE,val__UNDERSTAND__P26__6504234134902995-UNDERSTAND.npz
aslcitizen,UNDERSTAND,P18,6508787541133374-UNDERSTAND,61,17,0.279,2.44,0.0,0.42,LOW_HAND_RATE,test__UNDERSTAND__P18__6508787541133374-UNDERSTAND.npz
aslcitizen,EAT,P11,9933444469916732-EAT 2,43,12,0.279,1.44,0.0,-0.93,LOW_HAND_RATE,train__EAT__P11__9933444469916732-EAT 2.npz
wlasl,NO,WLASL_47,38539_4,104,29,0.279,3.47,0.0,0.11,LOW_HAND_RATE,train__NO__WLASL_47__wlasl_38539_4.npz
aslcitizen,THANKYOU,P26,7976564165646398-THANK YOU,104,29,0.279,3.43,0.0,-0.88,LOW_HAND_RATE,val__THANKYOU__P26__7976564165646398-THANK YOU.npz
aslcitizen,HUNGRY,P31,01552866889314064-HUNGRY,82,23,0.28,2.73,0.0,2.31,LOW_HAND_RATE,train__HUNGRY__P31__01552866889314064-HUNGRY.npz
aslcitizen,NAME,P29,5949494391929417-NAME,50,14,0.28,1.67,0.0,-0.86,LOW_HAND_RATE,train__NAME__P29__5949494391929417-NAME.npz
aslcitizen,SICK,P48,00961775886447791-SICK,64,18,0.281,2.13,0.0,-0.34,LOW_HAND_RATE,test__SICK__P48__00961775886447791-SICK.npz
aslcitizen,SICK,P4,10206502257817629-SICK,96,27,0.281,3.21,0.0,-0.18,LOW_HAND_RATE,train__SICK__P4__10206502257817629-SICK.npz
aslcitizen,NO,P48,9542027365188674-NO,71,20,0.282,2.37,0.0,0.09,LOW_HAND_RATE,test__NO__P48__9542027365188674-NO.npz
aslcitizen,HELP,P39,44817736125778374-HELP,131,37,0.282,4.37,0.0,-0.42,LOW_HAND_RATE,val__HELP__P39__44817736125778374-HELP.npz
aslcitizen,WHERE,P35,9084539059220444-WHERE,46,13,0.283,1.54,0.0,-0.68,LOW_HAND_RATE,test__WHERE__P35__9084539059220444-WHERE.npz
aslcitizen,PAIN,P21,7699770097456944-PAIN,60,17,0.283,1.96,0.0,-0.4,LOW_HAND_RATE,val__PAIN__P21__7699770097456944-PAIN.npz
aslcitizen,PLEASE,P48,7315727436787696-PLEASE,74,21,0.284,2.47,0.0,-0.13,LOW_HAND_RATE,test__PLEASE__P48__7315727436787696-PLEASE.npz
aslcitizen,SICK,P15,3280234496255292-SICK,95,27,0.284,3.17,0.0,-0.35,LOW_HAND_RATE,test__SICK__P15__3280234496255292-SICK.npz
aslcitizen,YES,P18,541403296602635-YES,74,21,0.284,2.96,0.0,-0.24,LOW_HAND_RATE,test__YES__P18__541403296602635-YES.npz
aslcitizen,HURT,P29,2609737790861999-HURT,74,21,0.284,2.47,0.0,0.35,LOW_HAND_RATE,train__HURT__P29__2609737790861999-HURT.npz
aslcitizen,EAT,P18,40193405478785693-EAT,70,20,0.286,2.8,0.0,-0.76,LOW_HAND_RATE,test__EAT__P18__40193405478785693-EAT.npz
aslcitizen,SICK,P18,4446871579256513-SICK,63,18,0.286,2.52,0.077,-0.22,LOW_HAND_RATE,test__SICK__P18__4446871579256513-SICK.npz
aslcitizen,THANKYOU,P15,09460259361998125-THANK YOU,91,26,0.286,3.03,0.0,-0.59,LOW_HAND_RATE,test__THANKYOU__P15__09460259361998125-THANK YOU.npz
aslcitizen,WHO,P47,8795571081681577-WHO,77,22,0.286,2.98,0.0,-0.5,LOW_HAND_RATE,test__WHO__P47__8795571081681577-WHO.npz
aslcitizen,SICK,P51,48675740621516783-SICK,63,18,0.286,2.1,0.0,-0.3,LOW_HAND_RATE,train__SICK__P51__48675740621516783-SICK.npz
aslcitizen,STOP,P31,1461467422069449-STOP,91,26,0.286,3.04,0.0,-0.62,LOW_HAND_RATE,train__STOP__P31__1461467422069449-STOP.npz
aslcitizen,WHO,P11,0015092814988848513-WHO,42,12,0.286,1.4,0.0,-0.24,LOW_HAND_RATE,train__WHO__P11__0015092814988848513-WHO.npz
aslcitizen,EAT,P15,8917441625336839-EAT,150,43,0.287,5.0,0.0,0.54,LOW_HAND_RATE,test__EAT__P15__8917441625336839-EAT.npz
aslcitizen,HURT,P47,4024860767622749-HURT,87,25,0.287,3.53,0.0,0.46,LOW_HAND_RATE,test__HURT__P47__4024860767622749-HURT.npz
aslcitizen,THANKYOU,P35,6936836055005255-THANK YOU,73,21,0.288,2.47,0.0,-0.04,LOW_HAND_RATE,test__THANKYOU__P35__6936836055005255-THANK YOU.npz
aslcitizen,HELLO,P51,081380748015633-HELLO,66,19,0.288,2.2,0.0,0.37,LOW_HAND_RATE,train__HELLO__P51__081380748015633-HELLO.npz
aslcitizen,NAME,P48,7459516150734173-NAME,76,22,0.289,2.53,0.0,-0.23,LOW_HAND_RATE,test__NAME__P48__7459516150734173-NAME.npz
aslcitizen,DEAF,P29,1706696537277308-DEAF 2,45,13,0.289,1.5,0.0,-0.28,LOW_HAND_RATE,train__DEAF__P29__1706696537277308-DEAF 2.npz
aslcitizen,EAT,P50,683562173601701-EAT 2,76,22,0.289,2.53,0.0,-0.64,LOW_HAND_RATE,train__EAT__P50__683562173601701-EAT 2.npz
aslcitizen,INTERPRETER,P29,41957236705659606-INTERPRETER,45,13,0.289,1.5,0.0,0.1,LOW_HAND_RATE,train__INTERPRETER__P29__41957236705659606-INTERPRETER.npz
aslcitizen,UNDERSTAND,P29,6424637597161564-UNDERSTAND,45,13,0.289,1.5,0.0,-0.74,LOW_HAND_RATE,train__UNDERSTAND__P29__6424637597161564-UNDERSTAND.npz
aslcitizen,UNDERSTAND,P31,0497069696398067-UNDERSTAND,76,22,0.289,2.54,0.0,1.52,LOW_HAND_RATE,train__UNDERSTAND__P31__0497069696398067-UNDERSTAND.npz
aslcitizen,WATER,P11,40723216723050504-WATER,38,11,0.289,1.27,0.0,-0.44,LOW_HAND_RATE,train__WATER__P11__40723216723050504-WATER.npz
aslcitizen,PAIN,P39,9856203057311912-PAIN,128,37,0.289,4.27,0.0,-0.97,LOW_HAND_RATE,val__PAIN__P39__9856203057311912-PAIN.npz
aslcitizen,PAIN,P17,10719457796634213-PAIN,62,18,0.29,2.1,0.0,0.2,LOW_HAND_RATE,test__PAIN__P17__10719457796634213-PAIN.npz
aslcitizen,DRINK,P31,03800598663017607-DRINK,69,20,0.29,2.3,0.0,0.02,LOW_HAND_RATE,train__DRINK__P31__03800598663017607-DRINK.npz
aslcitizen,WHERE,P30,5589002661440625-WHERE,117,34,0.291,3.9,0.0,-0.48,LOW_HAND_RATE,train__WHERE__P30__5589002661440625-WHERE.npz
aslcitizen,WHERE,P15,4223618248504115-WHERE,89,26,0.292,2.97,0.0,-0.69,LOW_HAND_RATE,test__WHERE__P15__4223618248504115-WHERE.npz
wlasl,DEAF,WLASL_47,14896_24,120,35,0.292,4.0,0.0,0.31,LOW_HAND_RATE,train__DEAF__WLASL_47__wlasl_14896_24.npz
aslcitizen,THANKYOU,P43,014439537236845323-THANK YOU,89,26,0.292,2.97,0.0,0.37,LOW_HAND_RATE,train__THANKYOU__P43__014439537236845323-THANK YOU.npz
aslcitizen,WHERE,P39,6997365376367899-WHERE,120,35,0.292,4.0,0.0,-0.83,LOW_HAND_RATE,val__WHERE__P39__6997365376367899-WHERE.npz
aslcitizen,INTERPRETER,P11,47363878041045804-INTERPRETER,41,12,0.293,1.37,0.0,-0.14,LOW_HAND_RATE,train__INTERPRETER__P11__47363878041045804-INTERPRETER.npz
aslcitizen,NO,P29,9616432008129339-NO,75,22,0.293,2.5,0.0,0.94,LOW_HAND_RATE,train__NO__P29__9616432008129339-NO.npz
aslcitizen,MORE,P18,9340539684203915-MORE,61,18,0.295,2.44,0.0,1.09,LOW_HAND_RATE,test__MORE__P18__9340539684203915-MORE.npz
aslcitizen,WAIT,P48,7918796234967189-WAIT,78,23,0.295,2.6,0.0,-0.54,LOW_HAND_RATE,test__WAIT__P48__7918796234967189-WAIT.npz
aslcitizen,WHY,P47,30163868001403205-WHY,105,31,0.295,3.77,0.0,-0.5,LOW_HAND_RATE,test__WHY__P47__30163868001403205-WHY.npz
aslcitizen,UNDERSTAND,P51,31049412762325446-UNDERSTAND,61,18,0.295,2.03,0.0,-0.93,LOW_HAND_RATE,train__UNDERSTAND__P51__31049412762325446-UNDERSTAND.npz
aslcitizen,WHERE,P42,3614350392614152-WHERE,71,21,0.296,2.32,0.0,1.02,LOW_HAND_RATE,test__WHERE__P42__3614350392614152-WHERE.npz
aslcitizen,PAIN,P51,09600688128321644-PAIN,81,24,0.296,2.7,0.0,0.65,LOW_HAND_RATE,train__PAIN__P51__09600688128321644-PAIN.npz
aslcitizen,INTERPRETER,P6,09167552322941397-INTERPRETER,64,19,0.297,2.15,0.0,0.06,LOW_HAND_RATE,test__INTERPRETER__P6__09167552322941397-INTERPRETER.npz
aslcitizen,DEAF,P39,3952172347699263-DEAF,111,33,0.297,3.7,0.0,-0.52,LOW_HAND_RATE,val__DEAF__P39__3952172347699263-DEAF.npz
aslcitizen,WHAT,P17,46005351531190786-WHAT 2,57,17,0.298,1.86,0.0,-0.18,LOW_HAND_RATE,test__WHAT__P17__46005351531190786-WHAT 2.npz
aslcitizen,WHAT,P6,5039089573715827-WHAT 1,47,14,0.298,1.57,0.0,-0.35,LOW_HAND_RATE,test__WHAT__P6__5039089573715827-WHAT 1.npz
aslcitizen,WHAT,P6,9031186843157322-WHAT 2,47,14,0.298,1.58,0.0,-0.18,LOW_HAND_RATE,test__WHAT__P6__9031186843157322-WHAT 2.npz
aslcitizen,BATHROOM,P29,11874088368813918-BATHROOM,47,14,0.298,1.57,0.0,-0.58,LOW_HAND_RATE,train__BATHROOM__P29__11874088368813918-BATHROOM.npz
aslcitizen,DEAF,P36,6898724827814644-DEAF,57,17,0.298,1.87,0.0,-0.44,LOW_HAND_RATE,train__DEAF__P36__6898724827814644-DEAF.npz
aslcitizen,WHO,P30,9311041997261886-WHO,84,25,0.298,2.8,0.0,-0.15,LOW_HAND_RATE,train__WHO__P30__9311041997261886-WHO.npz
aslcitizen,DRINK,P39,7313509467149351-DRINK,114,34,0.298,3.8,0.0,0.71,LOW_HAND_RATE,val__DRINK__P39__7313509467149351-DRINK.npz
aslcitizen,UNDERSTAND,P47,941475953685674-UNDERSTAND,77,23,0.299,3.49,0.0,-0.77,LOW_HAND_RATE,test__UNDERSTAND__P47__941475953685674-UNDERSTAND.npz
aslcitizen,HUNGRY,P18,002348350992488646-HUNGRY,70,21,0.3,2.8,0.0,-0.34,LOW_HAND_RATE,test__HUNGRY__P18__002348350992488646-HUNGRY.npz
aslcitizen,NAME,P42,243956265655763-NAME,40,12,0.3,1.29,0.0,0.05,LOW_HAND_RATE,test__NAME__P42__243956265655763-NAME.npz
aslcitizen,SICK,P6,3438291198863894-SICK,50,15,0.3,1.67,0.0,-0.24,LOW_HAND_RATE,test__SICK__P6__3438291198863894-SICK.npz
aslcitizen,STOP,P6,975560309489212-STOP,50,15,0.3,1.67,0.0,-0.48,LOW_HAND_RATE,test__STOP__P6__975560309489212-STOP.npz
aslcitizen,WHAT,P18,5746393757052535-WHAT 1,80,24,0.3,3.2,0.0,0.47,LOW_HAND_RATE,test__WHAT__P18__5746393757052535-WHAT 1.npz
aslcitizen,THANKYOU,P14,06476990357042611-THANK YOU,60,18,0.3,2.0,0.0,-0.63,LOW_HAND_RATE,train__THANKYOU__P14__06476990357042611-THANK YOU.npz
aslcitizen,WHERE,P37,9824526442836845-WHERE,60,18,0.3,2.0,0.0,-0.05,LOW_HAND_RATE,train__WHERE__P37__9824526442836845-WHERE.npz
wlasl,YES,WLASL_36,64281_19,70,21,0.3,2.34,0.0,0.01,LOW_HAND_RATE,train__YES__WLASL_36__wlasl_64281_19.npz
aslcitizen,DRINK,P15,09371248383875841-DRINK,103,31,0.301,3.43,0.0,0.1,LOW_HAND_RATE,test__DRINK__P15__09371248383875841-DRINK.npz
aslcitizen,EAT,P48,753473700404141-EAT 2,73,22,0.301,2.43,0.0,0.42,LOW_HAND_RATE,test__EAT__P48__753473700404141-EAT 2.npz
aslcitizen,NO,P18,08228267952066615-NO,73,22,0.301,2.92,0.0,-0.93,LOW_HAND_RATE,test__NO__P18__08228267952066615-NO.npz
aslcitizen,BYE,P33,9729998715398667-BYE,156,47,0.301,5.13,0.0,1.79,LOW_HAND_RATE,train__BYE__P33__9729998715398667-BYE.npz
aslcitizen,MORE,P29,8116309886717166-MORE,43,13,0.302,1.43,0.0,0.65,LOW_HAND_RATE,train__MORE__P29__8116309886717166-MORE.npz
aslcitizen,WHAT,P21,9106828060005678-WHAT 2,53,16,0.302,1.74,0.0,-0.26,LOW_HAND_RATE,val__WHAT__P21__9106828060005678-WHAT 2.npz
wlasl,EAT,WLASL_36,18324_19,66,20,0.303,2.2,0.0,1.54,LOW_HAND_RATE,train__EAT__WLASL_36__wlasl_18324_19.npz
aslcitizen,PAIN,P26,2527077785378311-PAIN,66,20,0.303,2.17,0.0,1.0,LOW_HAND_RATE,val__PAIN__P26__2527077785378311-PAIN.npz
aslcitizen,DRINK,P49,4266956774131161-DRINK,23,7,0.304,1.54,0.0,0.17,LOW_HAND_RATE,test__DRINK__P49__4266956774131161-DRINK.npz
aslcitizen,EAT,P48,6239284754747361-EAT,69,21,0.304,2.3,0.0,-0.02,LOW_HAND_RATE,test__EAT__P48__6239284754747361-EAT.npz
aslcitizen,WHO,P18,042301515237099796-WHO,56,17,0.304,2.24,0.0,0.54,LOW_HAND_RATE,test__WHO__P18__042301515237099796-WHO.npz
wlasl,WHERE,WLASL_42,63081_8,112,34,0.304,3.74,0.0,-0.66,LOW_HAND_RATE,train__WHERE__WLASL_42__wlasl_63081_8.npz
aslcitizen,WHO,P29,6013608694688473-WHO,46,14,0.304,1.53,0.0,-0.83,LOW_HAND_RATE,train__WHO__P29__6013608694688473-WHO.npz
aslcitizen,STOP,P39,49400025068696496-STOP,112,34,0.304,3.73,0.0,0.2,LOW_HAND_RATE,val__STOP__P39__49400025068696496-STOP.npz
